0,34,98,83,61,31,89,39,88,66,60,68,80,4,48,59,22,91,73,76,5,10,42,53,70,81,7,8,20,25,57,71,29,46,86,47,63,93,9,84,30,56,36,64,82,40,41,54,75,97,96,2,90,38,58,1,74,95,6,72,16,21,24,14,18,55,65,78,12,87,43,85,45,17,67,51,62,79,94,11,37,28,35,92,15,69,3,27,50,19,13,32,23,33,44,52,77,26,49,99 , 5.1255774561668845, 1.1279368485239472, 1.979782433366937, 6.074745750503532

100,118,163,177,123,153,154,185,161,172,168,117,124,166,140,132,121,143,144,149,142,175,194,156,187,178,170,152,150,131,192,180,141,101,133,183,147,182,191,197,158,108,160,164,111,136,128,151,109,129,169,139,184,196,119,193,157,162,171,189,130,165,186,122,138,179,148,103,106,159,120,116,137,199,127,135,102,126,125,190,104,113,198,115,176,181,188,195,107,174,155,167,110,134,145,105,173,112,114,146 , 2.4406813382969306, 1.5831511972864722, 15.19562911754058, 40.06556740139328

200,229,230,231,235,201,249,285,250,218,228,252,245,208,259,269,255,271,213,244,266,212,220,282,289,219,227,260,224,294,233,243,290,251,268,202,278,296,261,277,206,232,210,295,236,262,253,287,272,293,203,240,237,215,265,292,254,264,275,211,281,247,257,209,242,256,270,221,225,222,223,226,241,291,283,267,297,204,246,217,279,238,205,263,274,248,214,298,299,234,273,216,286,288,207,280,239,258,276,284 , -1.9648695245799, -2.097584395160431, 39.96253234255876, 20.014007475556024

300,332,303,319,327,313,321,393,360,323,374,318,324,365,359,395,338,386,382,304,377,396,312,399,342,331,362,372,361,301,308,336,339,353,369,381,389,354,378,307,309,357,322,373,371,328,379,335,392,348,391,314,385,398,325,345,375,337,344,305,384,387,343,311,376,351,320,346,366,383,364,330,397,370,334,390,349,367,302,388,306,317,326,347,333,350,355,394,310,315,356,329,352,340,358,368,316,380,363,341 , -1.0545075771636967, 1.1361106176228735, -0.14666999603443842, -0.16132367905203734

400,452,471,423,476,427,489,407,445,434,499,424,464,472,456,414,416,481,480,483,470,482,411,417,441,466,429,438,442,458,433,401,432,479,413,461,439,467,419,436,496,455,494,440,447,491,477,492,405,468,428,425,450,410,451,487,422,421,490,449,435,498,465,418,493,454,431,475,403,404,408,453,443,474,420,497,460,486,484,446,457,463,402,412,430,444,485,488,495,473,409,437,415,426,448,478,406,459,469,462 , 0.0482286282375114, 1.1259220911215446, -9.887873940389797, -20.098511142034933

500,588,501,577,539,511,586,559,509,523,510,546,562,527,540,567,538,528,529,531,556,554,570,547,597,568,530,578,584,566,550,573,576,557,558,563,522,504,581,561,574,513,590,595,507,591,519,599,536,521,506,593,571,524,598,512,526,548,520,589,502,580,587,569,585,503,553,518,534,583,517,543,551,535,542,575,541,545,555,572,560,564,565,533,537,596,582,516,544,552,594,532,592,549,505,515,514,579,525,508 , 1.9886249050795222, 0.02317048194239688, -99.88674356627835, 9.898430377129909

