0,34,83,98,61,31,89,39,88,47,63,5,10,42,53,70,81,7,9,36,64,82,40,41,54,75,97,1,74,95,6,72,16,21,24,14,18,55,65,78,45,20,25,57,93,29,46,84,71,30,43,86,12,87,17,67,51,62,79,94,11,37,28,35,92,15,60,80,68,23,33,44,52,69,77,56,85,3,27,50,19,13,4,48,59,22,91,73,76,32,66,26,49,2,38,8,58,90,96,99 , 5.125577456166886, 1.1279368485239474, 1.9797824333669378, 6.074745750503534

100,163,118,175,132,121,143,144,149,142,154,185,168,161,172,194,150,116,137,152,156,187,178,170,199,104,113,198,115,176,181,195,188,107,174,141,119,193,171,189,139,184,196,131,192,180,130,165,186,101,133,183,147,182,117,191,197,158,111,136,123,153,177,160,128,151,108,157,164,110,134,145,124,166,140,103,135,106,120,159,114,109,129,169,138,179,122,146,162,102,126,125,190,127,167,105,112,173,148,155 , 2.44068133829693, 1.5831511972864725, 15.195629117540575, 40.06556740139329

200,225,248,201,249,285,250,218,252,228,245,224,294,208,259,269,255,271,213,244,266,272,293,251,202,278,296,207,268,277,209,219,227,260,242,256,270,206,210,295,233,243,290,263,274,212,220,273,214,298,299,203,237,240,215,254,264,275,265,292,211,282,289,221,281,247,257,223,234,226,241,291,283,267,204,246,253,217,279,238,205,216,222,236,262,232,258,229,230,231,235,287,297,280,286,288,261,284,276,239 , -1.9648695245798995, -2.097584395160431, 39.96253234255875, 20.01400747555602

300,332,354,359,395,378,330,397,303,319,327,318,324,339,365,313,321,393,360,323,374,338,386,382,304,390,396,306,312,399,342,331,362,372,377,361,307,309,357,322,373,371,328,353,369,389,335,392,379,348,391,301,308,336,351,314,385,398,345,375,325,337,344,310,315,356,329,352,340,358,381,368,320,346,366,383,364,370,305,384,387,376,343,311,302,347,388,317,326,394,355,333,350,334,349,367,363,316,380,341 , -1.0545075771636971, 1.1361106176228741, -0.14666999603443853, -0.16132367905203718

400,452,471,429,438,442,433,458,401,432,413,461,467,419,439,436,496,440,447,491,455,494,448,478,403,423,427,476,481,489,404,408,453,479,473,443,414,480,483,474,405,468,428,407,445,424,464,472,418,493,456,454,475,431,402,412,430,485,488,411,417,441,416,466,444,477,492,409,437,415,422,426,410,451,434,499,470,482,487,420,497,460,486,484,425,450,446,463,457,421,490,495,435,498,465,449,459,469,462,406 , 0.04822862823751141, 1.1259220911215453, -9.887873940389804, -20.098511142034933

500,588,501,577,511,539,559,558,563,502,580,587,569,585,503,553,518,534,583,509,506,548,520,589,512,526,519,599,557,550,576,573,530,578,584,566,510,546,562,522,527,540,567,538,528,556,547,529,531,597,554,570,568,523,504,581,561,574,507,591,513,590,595,536,517,543,575,535,542,560,564,565,551,555,572,521,533,537,541,545,586,596,505,515,571,593,524,598,582,516,544,552,594,532,592,549,514,579,508,525 , 1.9886249050795217, 0.02317048194239694, -99.88674356627838, 9.898430377129909

